,Unnamed: 0,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,Clusterlabel,SalePrice
10,10,3,4.262679877041316,9.323758339011741,2,1,2,1,1,135000.0,3,2,3,5,5,1965,1965,3,4,2,1,0.0,3,3,1,3,3,1,3,6.810142450115137,1,0.0,4.90527477843843,6.947937068614969,3,5,1,3,0.0,6.947937068614969,3,0.6931471805599453,3,5,8,0,0,1,1965.0,1,384,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,2,2008,2,1,1.0,1.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.771443882099636
11,11,3,4.4543472962535064,9.386392315756543,2,2,2,1,1,314906.5,3,2,4,9,5,2005,2006,3,3,2,3,5.6594822157596205,5,3,3,5,3,1,6,6.906754778648554,1,0.0,5.181783550292085,7.069874128458572,3,5,1,3,7.041411663794809,7.751475318021456,4,0.6931471805599453,5,11,8,2,4,3,2005.0,3,736,3,3,3,4.997212273764115,3.0910424533583165,0.0,0.0,0.0,0,2,7,2006,3,2,1.0,3.0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.75130259456002
12,12,3,4.248495242049359,9.470317173335742,2,2,2,1,1,135000.0,3,2,3,5,6,1962,1962,3,4,2,1,0.0,3,3,1,3,3,1,5,6.6039438246004725,1,0.0,5.170483995038151,6.816735880594968,3,3,1,3,0.0,6.816735880594968,2,0.6931471805599453,3,4,8,0,0,1,1962.0,1,352,3,3,3,4.948759890378168,0.0,0.0,0.0,5.17614973257383,0,2,9,2008,2,1,1.0,1.0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.87757552297847
13,13,3,4.5217885770490405,9.273596821611196,2,2,2,1,1,197200.0,3,2,3,7,5,2006,2007,2,3,2,3,5.726847747587197,4,3,3,4,3,2,1,0.0,1,0.0,7.309881485824786,7.309881485824786,3,5,1,3,0.0,7.309881485824786,3,0.6931471805599453,4,7,8,1,4,2,2006.0,2,840,3,3,3,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0,2,8,2007,3,2,0.0,2.0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.540761149388421
14,14,3,4.248495242049359,9.298442820197726,2,2,2,1,1,141000.0,3,2,3,6,5,1960,1960,3,4,2,2,5.3612921657094255,3,3,1,3,3,1,4,6.598509028614515,1,0.0,6.255750041753367,7.134093721192866,3,3,1,3,0.0,7.134093721192866,2,0.6931471805599453,3,5,8,1,2,2,1960.0,2,352,3,3,3,0.0,5.365976015021852,5.17614973257383,0.0,0.0,2,2,5,2008,2,1,1.0,1.5,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.964007453736913
15,15,2,3.951243718581428,8.71948076085107,2,1,2,1,1,127000.0,3,2,1,7,8,1929,2001,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.725033642166842,6.725033642166842,3,5,1,2,0.0,6.751101468936759,2,0.6931471805599453,3,5,8,0,0,1,1991.0,1,576,3,3,3,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,4,2,7,2007,2,1,0.0,1.0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,11.790564777297387
16,16,3,4.248495242049359,9.32741204356202,2,2,2,2,1,141000.0,3,2,3,6,7,1970,1970,2,4,2,2,5.198497031265826,3,3,1,3,3,1,5,6.3613024775729965,1,0.0,6.056784013228625,6.912742820493176,3,5,1,3,0.0,6.912742820493176,2,0.6931471805599453,3,5,8,1,3,2,1970.0,3,480,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,3,2010,2,1,1.0,1.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.91170829631447
17,18,3,4.204692619390967,9.524859098381523,2,1,2,1,1,184900.0,2,2,3,5,5,2004,2004,2,3,2,1,0.0,3,3,3,3,3,1,6,6.472346294500902,1,0.0,6.150602768446278,7.0166096838942185,3,5,1,3,0.0,7.0166096838942185,3,0.6931471805599453,4,6,8,0,0,1,2004.0,1,576,3,3,3,0.0,4.634728988229637,0.0,0.0,0.0,0,2,6,2008,2,1,1.0,1.5,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.976665770490769
18,19,3,4.262679877041316,8.93075873555827,2,1,2,1,1,141000.0,3,2,3,5,6,1958,1965,3,1,2,1,0.0,3,3,1,3,3,1,2,6.22455842927536,1,0.0,6.26530121273771,6.937314081223682,3,3,1,3,0.0,7.200424892944957,3,0.6931471805599453,3,6,7,0,0,2,1958.0,1,294,3,3,3,0.0,0.0,0.0,0.0,0.0,3,2,5,2009,1,1,0.0,1.0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.842236406331557
19,20,3,4.624972813284272,9.562123369834488,2,2,2,1,1,314906.5,3,2,4,8,5,2005,2006,2,3,2,2,5.942799375126701,4,3,3,5,3,2,1,0.0,1,0.0,7.055312843339753,7.055312843339753,3,5,1,3,7.105786129481271,7.773594467360193,4,0.6931471805599453,4,9,8,1,4,3,2005.0,2,853,3,3,3,5.484796933490656,5.043425116919247,0.0,0.0,0.0,0,2,11,2006,3,2,0.0,3.5,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.692506186542175
20,21,2,4.060443010546419,8.915969311373606,1,1,1,1,1,106500.0,3,2,1,7,7,1930,1950,2,4,2,1,0.0,3,3,3,3,3,1,1,0.0,1,0.0,6.45833828334479,6.45833828334479,3,5,1,2,0.0,7.011213987350367,3,0.6931471805599453,4,6,8,1,4,2,1930.0,1,280,3,3,1,0.0,0.0,5.327876168789581,0.0,0.0,4,2,6,2007,2,1,0.0,1.0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,11.84510995088398
21,22,3,4.330733340286331,9.184304357425342,2,1,2,1,1,197200.0,3,2,3,8,5,2002,2002,3,3,2,2,5.641907070938113,4,3,3,4,3,1,1,0.0,1,0.0,7.483244416073849,7.483244416073849,3,5,1,3,0.0,7.493317248862145,3,0.6931471805599453,4,7,8,1,4,2,2002.0,2,534,3,3,3,5.147494476813453,5.0751738152338275,0.0,0.0,0.0,0,2,9,2008,2,1,0.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.345838935721968
22,23,2,3.80666248977032,8.348774539791274,2,1,2,1,1,88000.0,3,2,3,5,7,1976,1976,2,2,3,1,0.0,3,3,3,4,3,1,6,6.734591659972947,1,0.0,5.303304908059076,6.947937068614969,3,3,1,3,0.0,6.966967138613982,3,0.6931471805599453,3,6,8,1,3,2,1976.0,1,572,3,3,3,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0,2,6,2007,2,1,1.0,1.0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.774527900858466
23,24,3,4.248495242049359,9.017604776833355,2,2,2,1,1,135000.0,3,2,3,5,8,1968,2001,2,3,2,1,0.0,3,4,1,3,3,2,3,5.2417470150596435,5,6.505784060128229,5.3230099791384085,6.966967138613982,3,5,1,3,0.0,6.966967138613982,3,0.6931471805599453,4,6,8,1,3,2,1968.0,1,270,3,3,3,6.008813185442595,4.51085950651685,0.0,0.0,0.0,3,2,5,2010,2,1,1.0,1.0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.944714374881176
24,25,3,4.709530201312334,9.56317796268366,2,1,2,1,1,314906.5,3,2,3,8,5,2007,2007,2,3,2,3,6.46302945692067,4,3,3,4,3,1,1,0.0,1,0.0,7.356918242356022,7.356918242356022,3,5,1,3,0.0,7.378383712996714,3,0.6931471805599453,4,7,8,1,4,2,2007.0,2,890,3,3,3,0.0,4.043051267834549,0.0,0.0,0.0,0,2,7,2009,2,1,0.0,2.0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.454107814022274
25,26,3,4.110873864173311,8.881975184248867,2,1,2,1,1,141000.0,3,2,3,5,7,1951,2000,2,4,2,1,0.0,3,3,1,3,3,2,4,5.45958551414416,3,6.18826412308259,5.198497031265826,6.803505257608338,3,3,1,3,0.0,6.803505257608338,3,0.6931471805599453,4,5,8,0,0,1,2005.0,1,576,3,3,3,5.40717177146012,3.49650756146648,0.0,0.0,0.0,0,2,5,2010,2,1,0.5,1.0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.811554895830454
26,27,3,4.59511985013459,9.348274558065496,2,1,2,1,1,314906.5,3,2,3,8,5,2007,2008,2,3,2,3,5.303304908059076,4,3,3,5,3,1,6,7.105786129481271,1,0.0,6.18826412308259,7.4413203897176174,3,5,1,3,0.0,7.4413203897176174,3,0.6931471805599453,4,7,8,1,4,2,2008.0,2,772,3,3,3,0.0,3.9318256327243257,0.0,0.0,0.0,0,2,5,2010,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.631343648903036
27,28,3,3.8712010109078916,9.700269170029188,2,2,2,2,1,141000.0,3,2,3,5,6,1957,1997,2,4,2,1,0.0,3,3,1,3,3,3,4,7.153051634937481,1,0.0,5.337538079701318,7.3031700512368,3,3,1,3,0.0,7.378383712996714,2,0.6931471805599453,3,6,8,2,4,2,1957.0,2,319,3,3,3,5.666426688112433,5.556828061699537,0.0,0.0,0.0,0,2,12,2006,2,1,1.0,1.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12.242891437918384
28,29,2,4.110873864173311,8.752265313595721,2,2,2,1,1,127000.0,2,2,3,4,6,1927,1950,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.255750041753367,6.255750041753367,3,2,0,3,0.0,6.255750041753367,1,0.6931471805599453,2,4,8,0,0,1,1920.0,1,240,2,3,3,3.912023005428147,0.0,4.477336814478207,0.0,0.0,0,2,5,2008,2,1,0.0,1.0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,11.134603622683905
29,30,1,3.9318256327243257,9.04793908261736,2,1,2,1,1,106500.0,2,2,4,4,4,1920,1950,1,1,2,1,0.0,3,2,1,3,3,1,1,0.0,1,0.0,6.476972362889682,6.476972362889682,3,3,0,3,6.505784060128229,7.183870715062453,3,0.6931471805599453,3,6,8,0,0,1,1920.0,1,250,3,2,1,0.0,4.007333185232471,5.153291594497778,0.0,0.0,3,2,7,2008,2,1,0.0,1.0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10.59665973278358
30,31,3,4.248495242049359,9.053101595549693,2,2,2,2,1,135000.0,3,2,3,5,6,1966,2006,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,7.113956109566034,7.113956109566034,3,4,1,3,0.0,7.113956109566034,3,0.6931471805599453,4,6,8,0,0,2,1966.0,1,271,3,3,3,0.0,4.189654742026425,0.0,0.0,0.0,3,2,6,2008,2,1,0.0,1.5,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11.914054519303123
31,32,3,4.4543472962535064,9.310185706945902,2,1,2,1,1,197200.0,3,2,3,8,5,2007,2007,2,3,2,1,0.0,4,3,3,5,3,2,1,0.0,1,0.0,7.118826249062077,7.118826249062077,3,5,1,3,0.0,7.118826249062077,3,0.6931471805599453,4,7,8,0,0,2,2007.0,2,484,3,3,3,0.0,3.4339872044851463,0.0,0.0,0.0,0,2,1,2008,2,1,0.0,2.0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.100161978566868
32,33,3,4.262679877041316,9.264165458671089,2,2,2,1,1,141000.0,3,2,3,5,5,1959,1959,3,1,2,1,0.0,3,3,1,3,3,1,3,6.926577033222724,1,0.0,5.942799375126701,7.243512974665482,3,4,1,3,0.0,7.438971592395863,4,0.6931471805599453,4,6,8,1,4,2,1959.0,2,447,3,3,3,0.0,3.6635616461296463,0.0,0.0,0.0,0,2,4,2010,2,1,0.5,1.5,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12.016732516077072
33,34,3,4.110873864173311,8.897545598709328,2,1,2,1,1,314906.5,3,2,3,9,5,2005,2005,3,4,2,2,5.5093883366279774,5,3,3,5,3,1,6,7.050989447068045,1,0.0,6.013715156042802,7.353722330399631,3,5,1,3,0.0,7.353722330399631,2,0.6931471805599453,5,6,8,1,4,2,2005.0,3,556,3,3,3,5.318119993844216,3.8712010109078916,0.0,0.0,0.0,0,2,8,2007,2,1,1.0,2.0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.533579815765734
34,35,3,4.691347882229144,9.504426892100957,2,1,2,1,1,314906.5,3,2,4,8,5,2004,2005,2,3,2,3,4.890349128221754,4,3,3,5,3,2,1,0.0,1,0.0,7.0192966537150445,7.0192966537150445,3,5,1,3,7.186144304522325,7.8050670442584895,4,0.6931471805599453,4,9,8,1,4,3,2004.0,3,691,3,3,3,4.736198448394496,3.49650756146648,0.0,0.0,0.0,0,2,9,2006,2,1,0.0,3.5,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.641099792120599
