,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,SalePrice
15,2,3.9512437185814275,8.71948076085107,2,1,2,1,1,127000.0,3,2,1,7,8,1929,2001,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.725033642166843,6.725033642166843,3,5,1,2,0.0,6.75110146893676,2,0.6931471805599453,3,5,8,0,0,1,1991.0,1,576,3,3,3,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,4,2,7,2007,2,1,0.0,1.0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.790564777297387
16,3,4.248495242049359,9.32741204356202,2,2,2,2,1,141000.0,3,2,3,6,7,1970,1970,2,4,2,2,5.198497031265826,3,3,1,3,3,1,5,6.361302477572996,1,0.0,6.056784013228625,6.912742820493176,3,5,1,3,0.0,6.912742820493176,2,0.6931471805599453,3,5,8,1,3,2,1970.0,3,480,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,3,2010,2,1,1.0,1.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.91170829631447
18,3,4.204692619390966,9.524859098381523,2,1,2,1,1,184900.0,2,2,3,5,5,2004,2004,2,3,2,1,0.0,3,3,3,3,3,1,6,6.472346294500901,1,0.0,6.150602768446279,7.016609683894219,3,5,1,3,0.0,7.016609683894219,3,0.6931471805599453,4,6,8,0,0,1,2004.0,1,576,3,3,3,0.0,4.634728988229636,0.0,0.0,0.0,0,2,6,2008,2,1,1.0,1.5,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.976665770490767
19,3,4.2626798770413155,8.93075873555827,2,1,2,1,1,141000.0,3,2,3,5,6,1958,1965,3,1,2,1,0.0,3,3,1,3,3,1,2,6.22455842927536,1,0.0,6.26530121273771,6.937314081223682,3,3,1,3,0.0,7.200424892944957,3,0.6931471805599453,3,6,7,0,0,2,1958.0,1,294,3,3,3,0.0,0.0,0.0,0.0,0.0,3,2,5,2009,1,1,0.0,1.0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.842236406331555
21,2,4.060443010546419,8.915969311373605,1,1,1,1,1,106500.0,3,2,1,7,7,1930,1950,2,4,2,1,0.0,3,3,3,3,3,1,1,0.0,1,0.0,6.45833828334479,6.45833828334479,3,5,1,2,0.0,7.011213987350367,3,0.6931471805599453,4,6,8,1,4,2,1930.0,1,280,3,3,1,0.0,0.0,5.327876168789581,0.0,0.0,4,2,6,2007,2,1,0.0,1.0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.845109950883979
23,2,3.8066624897703196,8.348774539791274,2,1,2,1,1,88000.0,3,2,3,5,7,1976,1976,2,2,3,1,0.0,3,3,3,4,3,1,6,6.734591659972948,1,0.0,5.303304908059076,6.947937068614969,3,3,1,3,0.0,6.966967138613983,3,0.6931471805599453,3,6,8,1,3,2,1976.0,1,572,3,3,3,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0,2,6,2007,2,1,1.0,1.0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.774527900858468
24,3,4.248495242049359,9.017604776833355,2,2,2,1,1,135000.0,3,2,3,5,8,1968,2001,2,3,2,1,0.0,3,4,1,3,3,2,3,5.241747015059643,5,6.505784060128229,5.3230099791384085,6.966967138613983,3,5,1,3,0.0,6.966967138613983,3,0.6931471805599453,4,6,8,1,3,2,1968.0,1,270,3,3,3,6.008813185442595,4.51085950651685,0.0,0.0,0.0,3,2,5,2010,2,1,1.0,1.0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.944714374881176
26,3,4.110873864173311,8.881975184248867,2,1,2,1,1,141000.0,3,2,3,5,7,1951,2000,2,4,2,1,0.0,3,3,1,3,3,2,4,5.459585514144159,3,6.18826412308259,5.198497031265826,6.803505257608338,3,3,1,3,0.0,6.803505257608338,3,0.6931471805599453,4,5,8,0,0,1,2005.0,1,576,3,3,3,5.407171771460119,3.4965075614664802,0.0,0.0,0.0,0,2,5,2010,2,1,0.5,1.0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.811554895830454
28,3,3.871201010907891,9.700269170029188,2,2,2,2,1,141000.0,3,2,3,5,6,1957,1997,2,4,2,1,0.0,3,3,1,3,3,3,4,7.15305163493748,1,0.0,5.337538079701318,7.3031700512368,3,3,1,3,0.0,7.3783837129967145,2,0.6931471805599453,3,6,8,2,4,2,1957.0,2,319,3,3,3,5.666426688112432,5.556828061699537,0.0,0.0,0.0,0,2,12,2006,2,1,1.0,1.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.242891437918386
29,2,4.110873864173311,8.752265313595721,2,2,2,1,1,127000.0,2,2,3,4,6,1927,1950,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.255750041753367,6.255750041753367,3,2,0,3,0.0,6.255750041753367,1,0.6931471805599453,2,4,8,0,0,1,1920.0,1,240,2,3,3,3.912023005428146,0.0,4.477336814478207,0.0,0.0,0,2,5,2008,2,1,0.0,1.0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.134603622683905
30,1,3.9318256327243257,9.04793908261736,2,1,2,1,1,106500.0,2,2,4,4,4,1920,1950,1,1,2,1,0.0,3,2,1,3,3,1,1,0.0,1,0.0,6.476972362889683,6.476972362889683,3,3,0,3,6.505784060128229,7.183870715062453,3,0.6931471805599453,3,6,8,0,0,1,1920.0,1,250,3,2,1,0.0,4.007333185232471,5.153291594497779,0.0,0.0,3,2,7,2008,2,1,0.0,1.0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.596659732783579
31,3,4.248495242049359,9.053101595549691,2,2,2,2,1,135000.0,3,2,3,5,6,1966,2006,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,7.113956109566034,7.113956109566034,3,4,1,3,0.0,7.113956109566034,3,0.6931471805599453,4,6,8,0,0,2,1966.0,1,271,3,3,3,0.0,4.189654742026425,0.0,0.0,0.0,3,2,6,2008,2,1,0.0,1.5,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.914054519303125
32,3,4.454347296253507,9.3101857069459,2,1,2,1,1,197200.0,3,2,3,8,5,2007,2007,2,3,2,1,0.0,4,3,3,5,3,2,1,0.0,1,0.0,7.118826249062078,7.118826249062078,3,5,1,3,0.0,7.118826249062078,3,0.6931471805599453,4,7,8,0,0,2,2007.0,2,484,3,3,3,0.0,3.4339872044851463,0.0,0.0,0.0,0,2,1,2008,2,1,0.0,2.0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.100161978566867
33,3,4.2626798770413155,9.26416545867109,2,2,2,1,1,141000.0,3,2,3,5,5,1959,1959,3,1,2,1,0.0,3,3,1,3,3,1,3,6.926577033222725,1,0.0,5.942799375126701,7.243512974665482,3,4,1,3,0.0,7.438971592395862,4,0.6931471805599453,4,6,8,1,4,2,1959.0,2,447,3,3,3,0.0,3.6635616461296463,0.0,0.0,0.0,0,2,4,2010,2,1,0.5,1.5,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.016732516077072
36,3,4.727387818712341,9.292841593487926,2,1,2,1,1,197200.0,3,2,3,5,5,1994,1995,2,3,2,1,0.0,3,3,3,4,3,1,1,0.0,1,0.0,7.001245622069476,7.001245622069476,3,5,1,3,0.0,7.001245622069476,3,0.6931471805599453,3,6,8,0,0,2,1995.0,1,672,3,3,3,5.973809611869261,4.174387269895637,0.0,0.0,0.0,0,2,6,2009,2,1,0.0,1.5,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.884495917930655
37,3,4.31748811353631,9.051696278536586,2,1,2,1,1,141000.0,3,2,3,5,6,1954,1990,3,4,2,2,6.478509642208569,3,3,1,3,3,1,3,7.101675971619444,1,0.0,4.442651256490317,7.168579897264035,3,4,1,3,0.0,7.168579897264035,3,0.6931471805599453,3,5,8,1,3,2,1954.0,3,498,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,10,2009,2,1,0.5,1.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.938199736300925
38,3,4.23410650459726,8.977525200965243,2,1,2,1,1,141000.0,3,2,3,5,7,1953,2007,2,3,2,1,0.0,3,4,1,3,3,1,6,6.595780513961311,1,0.0,5.7899601708972535,6.964135612418245,3,3,1,3,0.0,6.964135612418245,3,0.6931471805599453,4,5,8,0,0,1,1953.0,1,246,3,3,3,0.0,3.970291913552122,0.0,0.0,0.0,0,2,1,2010,2,1,1.0,1.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.599112335481124
40,3,4.442651256490317,9.066354521447801,2,1,2,1,1,141000.0,3,2,3,6,5,1965,1965,2,4,2,2,4.624972813284271,3,3,1,3,3,1,3,6.467698726104354,1,0.0,6.100318952020064,6.9930151229329605,3,5,1,3,0.0,7.1891677384203225,3,0.6931471805599453,3,6,8,1,3,2,1965.0,2,440,3,3,3,0.0,4.9344739331306915,0.0,0.0,0.0,2,2,12,2006,2,1,0.0,2.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.982935344196433
41,3,4.7535901911063645,9.735423867488873,2,1,2,1,1,228475.0,3,2,3,5,6,1959,1959,2,3,2,1,0.0,3,4,1,3,3,3,4,6.875232087276577,1,0.0,5.950642552587727,7.208600337960199,3,4,1,3,0.0,7.192182058713246,2,0.6931471805599453,3,5,8,2,4,2,1959.0,2,308,3,3,2,0.0,4.653960350157523,0.0,0.0,0.0,0,2,7,2007,2,1,0.5,1.5,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.04355959836804
42,3,4.248495242049359,9.1248914101437,2,2,2,2,1,184900.0,3,2,2,5,7,1983,1983,2,4,2,1,0.0,3,3,1,4,3,2,5,6.617402977974478,2,4.543294782270004,0.0,6.734591659972948,3,4,1,3,0.0,6.785587645007929,2,0.6931471805599453,4,5,8,0,0,2,1983.0,2,504,3,4,3,5.484796933490655,0.0,0.0,0.0,0.0,3,2,12,2007,2,1,1.0,1.0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.87757552297847
43,3,4.248495242049359,9.127067452782361,2,2,2,2,1,197200.0,3,2,3,5,6,1975,1980,3,3,2,1,0.0,3,3,1,4,3,2,2,5.638354669333745,4,6.198478716492308,5.123963979403259,6.844815479208263,3,3,1,3,0.0,6.844815479208263,3,0.6931471805599453,3,5,8,0,0,1,1977.0,1,308,3,3,3,4.983606621708336,0.0,0.0,0.0,0.0,3,2,7,2008,2,1,1.0,1.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.777218637129327
44,3,4.2626798770413155,8.980423936374544,2,1,2,1,1,141000.0,3,2,3,5,6,1959,1959,2,1,2,1,0.0,3,3,1,3,3,1,5,5.19295685089021,4,6.2285110035911835,6.144185634125646,7.048386408721883,3,5,1,2,0.0,7.048386408721883,3,0.6931471805599453,3,6,8,0,0,2,1959.0,2,300,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,5,2006,2,1,1.0,1.0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.856522261533737
46,3,3.8918202981106265,9.458995712459116,2,2,2,2,1,154750.0,3,2,2,7,5,2003,2003,2,3,2,1,0.0,4,3,3,5,3,1,6,7.20934025660291,1,0.0,4.430816798843313,7.268920128193722,3,5,1,3,6.448889394146858,7.673223121121708,1,0.6931471805599453,4,6,8,1,5,2,2003.0,2,670,3,3,3,5.1298987149230735,3.784189633918261,0.0,0.0,5.293304824724492,0,2,8,2009,2,1,1.0,1.5,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.387089184491993
48,2,3.5263605246161616,8.402231172946555,2,1,2,1,1,118250.0,3,1,4,4,5,1920,2008,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.602587892189336,6.602587892189336,3,4,1,3,6.57507584059962,7.2813856635702825,2,1.3862943611198906,3,8,8,0,0,1,1920.0,0,0,0,0,1,0.0,0.0,4.634728988229636,0.0,0.0,0,2,6,2009,3,2,0.0,2.0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.635151947212842
49,3,4.204692619390966,8.954544488386723,2,1,2,1,1,135000.0,3,2,3,5,7,1966,1966,2,4,2,1,0.0,3,3,1,3,3,1,4,6.638567789166521,1,0.0,5.262690188904886,6.862757913051401,3,5,1,3,0.0,6.862757913051401,3,0.6931471805599453,3,6,8,0,0,2,1966.0,1,386,3,3,3,0.0,0.0,0.0,0.0,0.0,3,2,1,2007,2,1,1.0,1.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.751950239425476
50,3,4.248495242049359,9.537483513308878,2,2,2,1,1,181000.0,3,2,4,6,6,1997,1997,2,3,2,1,0.0,3,3,3,4,3,2,6,5.209486152841421,1,0.0,6.418364935936212,6.678342114654332,3,4,1,3,6.517671272912275,7.293697720601438,3,0.6931471805599453,3,6,8,0,0,2,1997.0,3,388,3,3,3,0.0,4.330733340286331,0.0,0.0,0.0,0,2,7,2007,2,1,0.5,2.0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.083910661257521
